3.960000000000000000e+02,1.735000000000000000e+03
3.960000000000000000e+02,1.736000000000000000e+03
3.950000000000000000e+02,1.736000000000000000e+03
3.960000000000000000e+02,1.736000000000000000e+03
3.974000000000000000e+03,1.778000000000000000e+03
3.027000000000000000e+03,1.837000000000000000e+03
3.028000000000000000e+03,1.837000000000000000e+03
1.291000000000000000e+03,1.437000000000000000e+03
1.291000000000000000e+03,1.438000000000000000e+03
1.278000000000000000e+03,1.432000000000000000e+03
4.059000000000000000e+03,2.588000000000000000e+03
4.453000000000000000e+03,2.144000000000000000e+03
3.288000000000000000e+03,1.868000000000000000e+03
